BookURI	BookCats	BookID	BookTitle	AuthorID	AuthorNam	EditorID	EditorNam	TranslID	TranslNam	BookRel
1320AbuKhalilQabbani.LubabGharam.Hindawi62705842	plays	62705842	لباب الغرام	80906818	أحمد أبو خليل القباني	None	None	None	None	None
1320AbuKhalilQabbani.NakirJamil.Hindawi53581373	plays	53581373	ناكر الجميل	80906818	أحمد أبو خليل القباني	None	None	None	None	None
1320IbnAhmadSayyidFuratiKawakibi.TabaicIstibdad.Hindawi30272530	social.sciences	30272530	طبائع الاستبداد ومصارع الاستعباد	63948479	عبد الرحمن الكواكبي	None	None	None	None	None
1323MuhammadCabduh.IslamBaynaCilmWaMadaniyya.Hindawi74949130	social.sciences	74949130	الإسلام بين العلم والمدنية	61829392	محمد عبده	None	None	None	None	None
1324JamilNakhlaMudawwar.HadaratIslam.Hindawi16093946	travel.literature	16093946	حضارة الإسلام في دار السلام	46395846	جميل نخلة المدور	None	None	None	None	None
1324JamilNakhlaMudawwar.TarikhBabilWaAshur.Hindawi30580950	history	30580950	تاريخ بابل وآشور	46395846	جميل نخلة المدور	60830250	إبراهيم اليازجي	None	None	None
1324QasimAmin.MaraJadida.Hindawi91575858	social.sciences	91575858	المرأة الجديدة	60741741	قاسم أمين	None	None	None	None	None
1324QasimAmin.TahrirMara.Hindawi96958241	social.sciences	96958241	تحرير المرأة	60741741	قاسم أمين	None	None	None	None	None
1325AntunNajib.IrsaliyyaHabashiyyaFiRusiyya.Hindawi82702853	history	82702853	الإرسالية القبطية الحبشية في البلاد الروسية: نيافة الأنبا متاءوس في بلاد الروس	68302831	أنطون نجيب	None	None	None	None	None
1325CabdMajidLutfi.CarabBadwFiMisr.Hindawi53624793	history	53624793	العرب البدو في مصر	93539581	عبد المجيد لطفي	None	None	None	None	None
1325MishilUkhya.TarikhTransvaal.Hindawi41395309	history	41395309	تاريخ الترنسفال	35075205	ميشيل أغيا	None	None	None	None	None
1325MuhammadZaki.NafhaZakiyya.Hindawi79420805	history	79420805	النفحة الزكية في تاريخ مصر وأخبار الدولة الإسلامية	20248483	محمد زكي	None	None	None	None	None
1325NajibAshciya.FiZilalHaqiqa.Hindawi31460696	philosophy :: literature	31460696	في ظلال الحقيقة	37402050	نجيب أشعيا	None	None	None	None	None
1325NajibMandrawi.KulumbWaCalamJadid.Hindawi48179527	history :: literature	48179527	كولومب والعالم الجديد: تاريخ اكتشاف أميركا	80928041	نجيب المندراوي	None	None	None	None	None
1325YusufDibs.MujazFiTarikhSuriya.Hindawi59535917	history	59535917	الموجز في تاريخ سورية	15149746	يوسف الدبس	None	None	None	None	None
1326MustafaKamil.AcjabMaKanFiRiqq.Hindawi26394174	social.sciences	26394174	أعجب ما كان في الرق عند الرومان	37070482	مصطفى كامل	None	None	None	None	None
1326MustafaKamil.FathAndalus.Hindawi19268374	plays	19268374	فتح الأندلس	37070482	مصطفى كامل	None	None	None	None	None
1326MustafaKamil.MasalaSharqiyya.Hindawi47050746	history	47050746	المسألة الشرقية	37070482	مصطفى كامل	None	None	None	None	None
1328ShahinMakarius.TarikhIsrailiyyin.Hindawi93717253	history	93717253	تاريخ الإسرائيليين	50375817	شاهين مكاريوس	None	None	None	None	None
1328ShahinMakarius.TarikhMasuniyya.Hindawi20802972	history	20802972	الحقائق الأصلية في تاريخ الماسونية العملية	50375817	شاهين مكاريوس	None	None	None	None	None
1330YacqubSanuc.AbuZayda.Hindawi81793639	plays	81793639	أبو ريدة وكعب الخير	63907360	يعقوب صنوع	None	None	None	None	None
